VAR00004,q_5,VAR00001,q_6,q_7_score,q_8_score,q_9_score,q_10_score,q_11,q_12,q_12b,q_13_score,q_13_other,q_14_score,VAR00005,q_14_other,q_17_score,q_18,VAR00002,q_19a,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5,q_19_6,q_19_7,q_19_8,q_19_9,VAR00003,q_fpxariert0,q_kanzenfjky,q_d3ivlmburb,q_3fueexkvwl,q_gakkxsofac,q_m2mvnd3r3r,q_fof2icttp0,q_ltutldrmhs,q_vt5wjrmxtg,q_4krhg77tje,q_kjkgzndrkt,q_ussvigksso,q_pvmuguroil,q_iz72txtptb,q_q2lihromvi,q_nfqulptv5t,q_5hqxgfdsfd,q_ospzhucp62,q_rkvsunpe6t,q_a8bqwufqm6,q_dmodwr41os,q_22_score,q_22_other,q_22b_score,q_22b_other,q_23,will_email_increase_coded,qualification,q_24,changes_in_behaviour_coded,q_25,changes_in_tech_coded,q_26,working_relationships_coded,additional_coding,q_1_score,q_2_score,q_2_other,q_3_score,q_4_score,q_ltejt7zene_score,q_nbqxn6dawh,Policy_coded,filter_$
"That it is relied on too much. This reduces face to face contact with other members of staff and can disconnect you from others leading to the belief that your work is more important than others. It also means that relationships with others can be harder to build. Another drawback is that the tone of an email can not be distinguished easily, something that is meant in jest could easily be misinterpreted as aggressive (etc)",4,"It is a quick form of contact, you can inform groups of people easily and ensure information/requests are sent out when you may not be able to contact the receiver another way. It is also useful when operating on multiple sites where face to face meetings are not always possible. One of the main benefits is the audit trail, having written responses is incredibly helpful!",1,3,1,3,2,90,25,25,1,7,1,"I'm very aware that others have work pressures as well as myself, I try to follow up difficult emails with a phone call to ensure the requests are understood",1,2,10,Sometimes it takes a lot of back and forth emails to understand/explain what is actually being requested. Also a lot of time is wasted chasing up with emails when someone isnt responding.,5, , , , ,5, ,7,8,9, ,"Due to the department I work in, some staff members seem to be afraid to come into the office to speak to me and would rather use email.<br/>I have had emails forwarded to me with no explanation however a week later will be asked if I have completed the task, I find this incredibly rude as no requested has been directed to myself.<br/>I often get copied into emails that are of no relevance to myself however I understand that sometimes this is the only way the sender can get a response off the direct receiver.<br/>I find people do not check the receiver list before forwarding emails on therefore I can end up with the same email two or three times.",5,8,8,10,9.5,4,7,8,3,10,5,9,8,9,4,5,10,9,3,10,5,2, , , ,"Yes, people do seem to be becoming more 'desk bound'",3,7,I think users need to have the ability to prioritise the emails they receive. I know some users who will ponder over every email regardless of it being directed at them. This obviously takes time and important emails are lost in the mix.,1,The one feature that frustrates me is when you attached something directly from Excel/Word it takes it too an email but you can't click off that email until it is sent. This means you can't look at anything is you need to refer to other information. Also archive systems are not always effective which can cause difficulty with size limits.,3,Is an amicable one where you can communicate and understand the responses that are needed (or at the least are not afraid to contact that person to ask them).,2, ,11,3,10,2,2,3,On my day to day useage I'm not aware on any impacts that affect my work. I am aware of how I should conduct myself and do as such...I hope!,6,1
 ,99, ,99,1,1,1,2,15,10,10,2,50,1, ,99,1, , ,99, , , , , , , , , ,10, ,99,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2, , , , ,6,0, ,0, ,99, ,99, ,3,2,55,3,2,1, ,99,0
Can be misread,11,"Fast, can keep copies.",1,1,1,1,2,45,10,10,2,98,1,I consider how I would respond to the e-mail if I recieved it,5,1, , ,99, , , , ,5,6,7,8, , , ,99,4.7,4.8,5.3,8.1,3.8,8.3,2.8,7.9,7.8,5.1,3.7,3.2,3.9,4.2,8,6.8,7,2.9,6.9,6.2,2, , , ,Yes,1,0,Users should be more considerate,1,no,99,Being able to approach managers and peers,5, ,11,4,30,4,2,2,"Do not use personal e-mail at work,",4,1
flooded with stuff that is not relevant to me,1,cheep + instant,1,1,1,3,2,20, ,15,2,50,1, ,99,2,20,too much stuff that is nothing to do with me,2, , , , , ,6, ,8,9, , ,99,1.7,3.5,2.7,5.3,7,3.9,6.9,7,6.9,7.1,5.8,7.7,5.6,7.3,7.1,7.3,6.4,7.6,7,8.1,2, , , ,yes,1,0,use sense about who to contact,1,no,99,open and friendly,4, ,11,4,21,5,2,2, ,99,0
Not always able to verfiy understanding or if the person has actually received the message.,4,It is very fast and easier than trying to track someone down to talk to them face-to-face or even on the phone,1,1,3,1,1,30,15,15,2,50,1, ,99,2,5,It takes my mind off a task and I focus on something else.,9, , , , , , , , , ,10,N/A,99,2.1,6.4,7.7,7.5,5.9,4.4,6.7,4.9,7.5,4.9,6.4,6.3,7.7,5.2,6.1,6.1,6,6.6,6.7,6.2,2, ,2, ,Yes,1,0,Regular training,2,No,99,Ability to rely on colleagues,7, ,5,4,40,3,2,1,The use of my signature. Not using it for personal use and the correct use of language,4,1
"They may be used in place of personal contact and create social isolation; they may be sent so frequently that reading, acting in or replying to them becomes a chore; they may be drafted in such a way that they are misinterpreted and damage morale; they may be so long that they facilitiate only a brief scanning; they tend to create a priority based upon urgency rather than properly prioritising one's work. They may be ignored and drop down the screen, ending up not being read and causing the sender stress wondering why you haven't replied. Thye take no account of the receiver's mood, health, and current work-load/stress.<br/>In the absence of the person face-to-face can cause a breakdown in relationships as one has no body-language or verbal feedback in order to adapt what one is saying to suit the person receiving the information<br/>",4,"Immediate<br/>Can reduce time for getting things done<br/>can replace a phone call or visit and save time<br/>provide an informal written record of the actuality of decision-making and processes<br/>can keep team members included in a shared task<br/>emails can be sent regardless of time zone, enabling multi-location work and responses<br/>cut down on resources consumption by reducing the amount of paper, ink, postal and phone bills.<br/>Gives greater access to senior staff, mamaners, peope in positions of power.<br/>Empowering to disadvantaged groups<br/>allows greater ability to share media - documents, photos, links to online content<br/>maintains distanat relationships<br/>cuts out the need to deal face to face with difficult people or where relationships have broken down but communication needs to take place<br/>provides an informal storage of information for later retrieval - and can be contemporanious notes<br/>less formal than memos in the workplace but serve a similar function<br/>can allow multiple people to receive the same information simultaneously<br/>allows one to better structer one's thought, ideas, suggestions, complaints, requests, reports.<br/>Encourages more accurate communication than can be obtained from talking because the message is 'in black and white'",1,2,1,4,2,90, , ,2,98,1,I consider all that I have stated above prior to emailing.,88,2,30,Being distracted from a particular task to read and reply to emails.,9,1, , ,4,5,6, ,8,9, ,Silly joke emails<br/>spam<br/>marketing emails trying to sell things<br/>,1,4.1,10,9.8,6.5,10,4.6,5.3,10,10,10, ,10,10, , ,10, ,10,10, ,2, , , ,"I believe that people will make more use of text-based electronic comms - whether this be by email, text (SMS) or via social media messaging services or DM platforms; alongside (where possible) video-conferencing such as ggogle+ hangout or Skype.",4,9,"Same as tradtional letter-sending - don't send junk mail, unsocilcited messages for sales or scam emails.",1, ,99,"These days, a good working realtionship is one where the parties are comfortable contacting each other when needed via a variety of latforms - a mixed approach including face to face meetings, phone/skype calls SMS and email.",2, ,7,3,2,4,2,1,"I always where possible walk away from the PC and go and see the person I need to speak to first. Once an efective communication is established, I then make great use of email to make progress efficiently, but I (before reading the policies and backed by the policies) believe that person-to-person is the correct way to communicate until the short-cut of email can be used once the parties involved are 'on the same page'. If I am unable to visit the person due to geographic limits, I use emoticons and informal language in emails to creat a friendly atmosphere as I would in person :-))",6,1
Emails are very impersonal and it can be quite diificult for people to compose emails that are clear and do not cause offense.  I have often overheard conversations about the 'tone' of an email and I frequently find myself telephoning the sender for clarification.,9,Traceability and document transfer is particularly beneficial.,5,4,1,6,2,90,20,30,1,5,1,I am very conscious to be polite as well as trying to keep the email clear.,5,2,20,Opening emails I've been copied in to.,2,1,2,3,4,5,6,7,8,9, ,"Content that is not relevant to me, such as being emailed just to 'keep me in the loop'.",8,1,8,10,8, ,10,8, ,5,10,10,10,5,5,10, ,10,1,10,10,2, , , ,Yes,1,0,Only copy others in when absolutely necessary.  The email trail can always be retraced if a 'history' is required.,1, ,99,Being able to communicate clearly to ensure the message is understood without causing any offense,2, ,11,2,55,4,1,3, ,99,0
Tone of voice can't be interpreted.<br/>Can be better to resolve matters face to face,9,Time saved<br/>Paper saved<br/>Convienient for non-controversial matters!,1,2,1,2,2,60,10,10,2,98,1,can be taken the wrong way. Also privacy incase others see it.,5,2,10,Sometimes you are filtering out rubbish that I didn't need! Others need to consider what they send. Plus junk mail to delete.,2, , , , ,5,6,7, ,9, ,Often people pepperpot emails just so they have covered their own backside but have not taken responsibility for doing something themselves.,5,7,9,9,10,10,9,10,10,10,10,10,9.8,8.5, ,8.9,8.5,8.9,9.8,9.9,9.4,2, , , ,"yes, people are busy and more spread out",3,7,Set tone 'rules',3, ,99,honest and not threatening,2, ,7,4,88,3,2,3, ,99,0
"Items can be missed, or closed in error.",13,Speed and the ability to work paperless on routine correspondence,1,5,1,5,2,176, , ,2,50,1, ,99,2,11,Sometimes it is quicker to pick up the phone.,9, , , , , , ,7,8, , , ,99,7.5,7.5,9,8.7,10,6.8,8.1,7.3,10,10,6.4,5.9,10,9.6,5.5,8.9,9.6,9.5,10,7.6,2, , , ,Yes,1,0,Don't know - everyone that I deal with on email is fairly efficient and used to using email,99,No,99, ,99, ,15,3,2,5,2, , ,99,0
For me finding time to read them at the right time.,1,Proof of reciept,2,1,1,2,2,10,4,2,1,4,2, ,99,2,10,Logging on and then finding info they are asking or asked but too late,9, , , , ,5, ,7,8,9, ,Same messages that mean nothing to my job I have little interest in.,8,4.8,6.8,7.7,9.5,2.7,4.8,8,5.2,7.7,5.5,5.4,8.7,8.8,4.7,6.8,5,7.8,4.7,8.4,2.9,2, ,2, ,definatly,1,0,sending times,3,Getting time to sit and log on and able to read mail recieved at appropriate timings,7,not just using mail but face to face can been much more affective and socialable to work collegues putting a name to a face rather than a mail address a written name and no face to speak with.,2, ,3,3,2,3,2,3, ,99,0
Irrelevant e mails use up time.<br/>Spam.<br/>Blanket messaging that is often irrelevant,2,Immediacy<br/>Logging information<br/>Evidence (paper trail),1,2,1,2,2,30,10,10,1,7,1, ,99,2,20,"Irrelevancy<br/>E mails can lead to taking part in tasks you hadn't planned, taking up time allocated for more meaningful tasks",2, ,2, , ,5,6,7,8,9, ,Irrelevant e mails that take up time,8, ,8,8,5,9,6,8,8.9,8,10, ,10,10,10,10,10,10,8,10,10,2, ,2,2,No,2,0,More relevant targeting,1,No,99,"One without stress, prejudice or rank",6, ,7,4,33,4,1,2,Record keeping,2,1
Unable to take back information sent<br/>Chances of sending email to the wrong person,10,Quick and easy,1,3,1,5,2,180,25,30,2,98,1, ,99,1, , ,99, , , , , , , ,8, , ,Emails sent about events/meetings etc that are not relevant to myself.,8,5, ,10,2.3,5.4,1,10,3.5,1,6.1,5.8, ,10, ,5,5.1,5,5.1,3.7,5.4,2, , , ,Yes,1,0, ,0,No none at present,99,"A good working relationship I consider to be able to work together as a team and communicate efficiently and effectively, whether it be through email, telephone or face to face.",8, ,3,2,55,2,2,2, ,99,0
Can be time consuming checking through all the spam and you have to rely on the recipient checking their email for a response.,1,Instant and easy way of communicating.,1,1,1,1,2,30,5,5,2,50,1, ,99,2,10,Reading through emails that are not meant for me (sent to all users) and deleting them.,2, , , , ,5,6,7,8,9, ,"There are emails that are sent every day with content that is not relevant to me, or the role that I do.",8,7,5,6,6,6,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2, , , ,Yes,1,0, ,0, ,99,"Be able to guide each other, give each other constructive criticism and advice, get on well, be able to have a laugh, share resources and ideas, be able to discuss personal issues with trust.",6, ,11,4,21,3,2,2, ,99,0
You end up e-mailing the person you are sat next to and would previously have a conversation with,4,Speed of information,1,1,1,1,2,45,5,10,1,5,2, ,99,1, , ,99, , , , , , ,7,8,9, ,Blanket e-mails,8,4.6,5.3,4.3,6.3,6.1,4.3,3.8,4.1,5.7,4.3,5.8,4.5,4.7,5.1, ,4.9,4.6,4.9,5.2,5.1,2, , , ,Yes,1,0,Junk mailers targetted,1,no,99,Honesty and comfortable in communicating with someone,2, ,15,4,32,3,1,2,Political Correctness,6,1
Tone being mis-read be recipient.,11,"Paper trails, contacting many people in one go, making contact instantly even though the recipient may not be available (unlike a phone call).",2,2,3,2,1,120, , ,2,98,2,Impact?  It's just an email.,3,1, , ,99, , , , , ,6,7,8, , ,"Can't think of a specific example, but just reading back over an email before sending doesn't take too much time!",7,3,1,3,1,3,2,8,2,4,2,5,5,5,5,5,5,5,5,5,5,2, , , ,Yes,1,0,DOn't know,99,No,99,Happ to listen to all points of view and discuss things as adults.,2, ,15,3,99,3,2,3,None,99,0
No personality.,9,Sending a message to multiple personel,1,1,1,2,2,32,10,10,2,50,2, ,99,2,45,Reading irrelevant material,2, ,2,3, ,5,6, ,8,9, ,Avoiding face contact.,5,5.4,5.3,5.5,5.4,5.5,5.3,5.4,5.2,5.4,5.6,8.8,5.5,7.1,6,5.8,5.6,5.2,5.6,5.2,5.6,2, , , ,No,2,0,Yes,0,No,99,"Both parties have an understanding of the topic ,yet they are still open to debate.",2, ,15,4,41,5,1,4, ,99,0
might not be confidential,10,speed,1,1,3,1,2,20,5,10,2,50,1, ,99,1,0, ,99, , , , , , , , , ,10, ,99,5,2,7.5,7.5,10,7,10,5,5,10,5,5,5,7.5,5,5,5,7.5,5,7.5,2, , , ,yes,1,0,ok as is,0,no,99,open honest communication,2, ,15,3,4,5,2,3,awareness of college policies,99,0
"Can llose personal touch, and the value in speaking form person to person",4,"Record kept<br/><br/>Speed, speed, speed<br/><br/>Day or night usage<br/><br/>can sned to multi people",2,6,1,6,2,65, , ,2,98,1,Want positive reaction,5,1, ,"I don't waste time on it, but reading all the marketing material does not help",2, , , , ,5,6,7,8,9, ,To cancel a meeting that had been postponed many times before,9,9.1,9.2,9,10,9.1,3.2,6.4,6,5.2,5,6,5.1,6.6,4.9,5.7,6.2,8.4,7.4,4.7,5.5,2, , , ,Yes,1,0,Yes,0,No,99,Regular contact<br/>Brief communication<br/>Polite,2, ,15,3,4,4,2,3,Can't think of one,99,0
Personal e mail address could be sent to other people you may not want it to go to.,10,e mail is quick and instant.,1,1,1,1,2,20,12,12,2,98,1,only give the recipient the important information.,1,1, ,"A lot of time is wasted going through spam e mails, or e mails that are not relevant to you.",2, , , , , , , ,8,9, ,when I receive the same messages more than once.,9,5,5,5,5,8,5,9,9,5,5,5,5,5,5,5,5,4.9,5,5,5,2, , , ,I believe e mail usage will continue to grow.,1,0,e mail information that is straight to the point.,7,None.,99,Able to get on well with your staff team.,8, ,15,3,2,5,1,2,Follow the procedures that are in place for day to day useage of e mail.,6,1
the tone of what you are saying can be taken the wrong way. you also dont know if the person has read the email.,9,record of what has been said and easy to contact people. they can also be read when the person wants to read them.,2,3,1,4,2,90,25,25,2,98,1,if delicate matter i speak to them face to face,4,1,0,getting rid of spam and bulk emails that dont apply to you.,1, ,2, , ,5,6,7,8, , , ,99,2, ,5,10, , ,6.2,8.8,10,9, ,7.1,10,9.8, ,3.4,1.7,10,10,10,2, , , ,yes,1,0, ,0, ,99, ,99, ,15,4,22,2,2,3, ,99,0
Lack of face-to-face contact and immediate feedback/response.,4,A permanent record kept in case of future disputes.,2,2,1,2,2,30,3,3,1,50,1, ,99,2,10,Some e-mails require a response that take too much time in writing and could be resolved by a simple phone call.,7,1,2, , ,5,6,7,8,9, ,Disciplinary messages sent to everyone in general rather than the individual at fault (tarring with the same brush).,1,5,5,5,8,8,5,8,8,5,8,5,5,5,8,5,8,8,8,5,8,2, , , ,Yes,1,0,Priority tabs,3,No,99,The ability to express one's opinion and take time to listen to the opinions of others. <br/>E-mailing does not offer this.,2, ,15,4,21,4,1,2,I ensure that I am aware of such policy and ensure I abide by the rules within.,99,0
"Tone gets misinterpreted<br/>Overused<br/>Spent so much time checking it throughout the day<br/>Once it's gone, it's gone!",11,Quick<br/>Gives you 'proof',1,1,1,4,2,45,4,5,1,2,1,Oh yes! I have pressed 'send' and regretted it so many times!,5,2,15,reading pointless stuff that has nothing to do with my area.,2, ,2, , ,5,6,7,8, , ,"Used to avoid face to face contact - this avoids an open discussion on matters. For example we are told when meetings are going to be, not asked about our availabiity.",5,2, ,8,3.3,2,2.8,2.4,8.4,9.3,7.3,7.7,9.7,2.9,4.9,7.1,6.5,9.9,8.1,10,8.2,2, , , ,yes,1,0,limit words - like Twitter?,3,no,99,"Generally get on well, issues resolved quickly and then forgotten!! Managers must know their subordinates very well in order to have a good working relationship.",6, ,7,4,88,4,2,4, ,99,0
The use of blanket e-mails is a pest. I tend to get multiple e-mails that have no relevance to me.,1,Quick. easy and they are trackable.,1,1,1,2,2,30,5,5,1,5,1,Some e-mails are of a sensative nature,4,2,15,Opening and checking e-mails that are sent to all staff,2, , , , , ,6, ,8, , ,Again blanket e-mails are a huge waste of time,8,5.5,1.6,6.7,4.7, ,3.2, , ,7.6, , , ,6.5,5.9,6, , , , , ,2, , , ,yes,1,0,Only send to the people who need the information and not every one on college mailing list.,1,no,99,"A relationship where each member of staff communicate well, are supportive and share good ideas and practice with each other.",2, ,5,4,23,5,2,3,"I am aware of what I send, e.g the use of language is different to the language I would use in my home e-mails.",6,1
I think sometimes face to face communication can be more useful.,4,"Quick, easy and it means you don't have to wait around to speak to people.",1,3,3,4,1,87,100,30,2,50,1, ,99,1, , ,99, , ,3, ,5,6,7,8,9, ,I think sometimes it is easy for people to forgwet the impact of their email - if you are speoaking to people face to face I think they are usually friendlier and more helpful! It is more personal.,5, ,7.1,7,6.6,7.1, ,7.6, ,9.8,9.7, ,10,8.4,8.2, ,6.3,8.7, ,7.8,8.6,2, , , ,"I imagine so, particularly in personal/ non work related life.",3,7,Thinking about teh content - both the actual message and the tone of the message.,7, ,99,Where there is respect and mutual help/ support involved.,6, ,7,3,4,3,2,2,I am careful about emailing students personal details and the content of emails,7,1
Miscommunication can easily occur with written communication. Emails are often impersonal and are used to sometimes give short messages that could easily be conveyed in person. Emails can be used for personal use without work being aware.,11,Emails provide a record of information for quality and standards and to ensure that people are aware of information in a quick manner.,2,2,1,2,2,90,200,20,2,97,2,This is not something I have considered before.,3,1, ,"junk mail can occur in the inbox, so you spend time trying to delete these before accessing the emails you want to read.",2, , , , ,5,6, ,8,9, ,The same message is often problematic as you don't need the same information from different sources. This is a waste of human resources.,9,1.1,10,6,10,10,2,5,10,10,5.1,10,10,9.9,10,6,3,10,10,10,10,2, , , ,Yes because we are using technology more personally and in more workplaces.,3,7,"I think people shold be made accountable for the emails they send. For example, anti-social and abbusive messages should carry a severe penalty such as a fine or even job loss if it warrants. Obviously this would need to become part of employment law.",8,None that I could think of.,99,I think a good working relationship is one where you can speak directly to a person and send them an email. It is also important that a person's views are considered.,2, ,3,4,21,3,2,2,"There is no impact on the use of emails, as I only use emails for my work purpose.",4,1
"lack of face to face contact and mis interpretation of meaning. Also, an excuse (or medium to use) to pass issues on and not address them.",4,"Speed of communication, contact many at same time. Keeps a record of communications carried out.",1,1,2,2,3,45,10,10,2,98,1,I try to scipt the message taking account of the percieved interpretation of the audience,5,2,10,"Reading mail that is circulated to everyone - not requiring a response from me. Also, wrongly directed mail.",2, , , , ,5,6,7,8,9, ,Individuals forwarding the same message numerous times to prompt a response (but notone required from me),9,1.4,6.9,7.6,4.7,6.4,9.1,8.3,5.6,9.2,9.6,5.5,8.5,8.2,8.4,1.6,7.4,3.8,4.2,8.7,1.4,2, ,2,7,"yes although the use of other comms is increasing, tele message, video, text.",3,3,"Only use to contact groups, need for a record, to send an attachment",7,no,99,"Sincerity, do what you say. Finishers meaning completes task and not pass buck. Is supportive and helpful but also is able to critcally view issues and circumstances in a positive way, both personally and employment",6, ,15,4,21,5,1,2,I don't think policy rules have any impact as I follow policy rules,99,0
The loss of the inate ability to communicate face to face.,4,Quick and easy. Our campus is spread over three sites so impossible to meet people.,1,1,1,3,2,62,10,10,2,98,2,Normally having to reply to something,2,2,11,Reading them and realising they are for someone else.,2, , ,3, ,5,6,7,8,9, ,Being told off when the manager passed the buck,1,7.8,9.1,8.4,5.5,9.3,5.8,7.7,7.9,5.7,9.4,9,9.3,9.1,8.9,7.8,7.8,7.6,8.5,7.6,9.7,2, , , ,yes,1,0,Stop the junk,4,No,99,That you have some face to face contact. That you respect the oerson.,6, ,15,4,19,5,1,4, ,99,0
Depending on volume of email it is easy to lose sight of outstanding workload.<br/><br/>Email is always on (when minimised) so one can be effectively nagged by email.,1,Instant paperless global communication with a record of what has been communicated.,1,5,1,6,2,90,25,15,1,2,2,Email is used in the institution so widely that this is no longer 'new technology' so use is essentially thoughtless (i.e. consideration-less),3,1, , ,99, , , , , , , ,8, , ,"Global emails to all staff which are only for the use of either (for example) academic staff or only for the use of support staff.  ""Remind your learners to wear red on St David's Day"" would only apply to academic staff for example.",8,1, ,8, , , ,9, ,8,10, , , , , ,10,10, ,10,10,2, , , ,Business email - no.  It's pretty much saturation in most organisations.  Personal email - yes.  More and more of one's life will be managed on-line and email is an essential part of this.,4,11,No comment.,0,No.,99,Too broad a question.  People who work well in their roles and use interpersonal skills to get along with one another.,2, ,15,2,55,4,1,2,No impact on day-to-day usage.,99,0
"Expectation that emails are brief and to the point, and so a lengthy email is often deleted or goes unread. Probably not suitable as a main document, and so use restricted to 'covering letter' function.",2,Speed and ease of communication.,1,1,1,3,2,30,20,40,2,97,1,Just as I would have done when writing a letter...,5,2,20,Reading spam that has evaded the filters or reading shotgun'd emails sent to everyone internally.,1, , , , ,5,6,7,8, , ,The sender was attempting to explain an awkward situation while sitting opposite me in the room!,1,10,10,10,5,10,3.3,10,10,3.3,10,10,10,10,10,3.3,10,10,10,3.3,10,2, , , ,While the drive towards a paperless office continues the use of emails will probably increase.,3,7,Specific training rather than assuming that if someone is literate he/she can use emails.,2,no,99,"Trust and respect, openness and honesty.",3, ,7,4,42,6,1,2,None spring to mind - I have been working and using emails ever since OAS took a firm hold in the 1980s and I believe that my work standards will ensure that I do not fall foul of any policy rules.,99,0
no communication,9,referal to what is asked,2,2,1,3,2,63,20,200,1,7,2, ,99,2,62,aswering question when a phone call will do,7, ,2, , ,5,6,7,8,9, ,to all staff who as not completed the ? please do so Immediately,8,3.6,9.2,6.2,2.3,4.4,6.9,9.8, ,9.7,9.5,5.6,8.3,8.4,8.2,5,3.4,7.4,4.7,6.7,9.1,2, ,2, ,yes,1,0,none,0,yes to physical contact,9,eye to eye communication,2, ,15,4,18,4,2,4,not known,99,0
Writing what you really want to say without causing bad feeling. A great deal of time is spent making sure that what you have said cannot be misiterrpreted or forwarded on to other people who can also then misinterpret the meaning.,11,You doon't have to speak to someone face to face.<br/>You don't have to listen to a volley of rubbish<br/>It is quick.<br/>It is a permenant record<br/>You can speak to many people at once.,8,2,1,3,2,180,10,10,2,98,1, ,99,2,30,"Pressing the delete button.<br/>Openning up the spam filter,<br/>Emtying my email box<br/>Filing emails correctly<br/>searching for sent emails<br/>Searching for deleted emails<br/>Searching for unread emails<br/>opening up and attachments that are too big<br/>Saving attachments",2,1,2,3, ,5,6,7,8,9, ,Poorly written emails allow aother staff to form an impression of one's intelliegence and many colleagues enjoy such errors a little too much.,7,9,2.1,7.7,5.5,2.3,9.9,6.5,6.2,8.8,7.4,9.8,3.1,7.8,9.3,9.8,5.3,6.1,2.9,7.3,3.6,2, ,2, ,Yes - unfortunately. Faceless to faceless communication is here to stay.,3,7,Emails that could be received would be directly linked to an employees direct job accountability only.,8,"Too much to learn, no time to learn how to use them effectively and they keep updating them with new systems as quaick as you have learnt 50% of the old system",10,The ability to listen with empathy.<br/>The ability to recognise someone's non verbal communiction<br/>The ability to laugh at and with each other<br/>,2, ,15,2,55,4,1,4,Not aware,99,0
No Guarantee the recipient will read the mail<br/>Impersonal<br/>Increases the possibility of misinterpretation<br/>,11,Quick & convenient<br/>Recipient can read mail when convenient<br/>,1,2,1,3,2,60,15,15,2,97,1,to ensure communication is effective and the content suitable for the person receiving it,5,2,10,Reading e-mail meant for other groups of people,2, , , , , ,6, , ,9, ,"Poor punctuation, grammar and spelling making the message difficult to understand",6,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10,10,10,10,10,10,2, ,2, ,Yes,1,0,Possibly,0,No,99,"Having met the person and the area in which they work, understanding their knowledge and ability on using electronic resources, allows me to ensure the type of communication I use is effective.<br/><br/>Having previously built a working relationship with that person ensures less understanding via communication.",6, ,11,3,99,4,2,3,"None, I use work e-mail purely for work communication and not for anything else",4,1
People do not always reply to you.,6,Good for tracking information and getting in contact with external partnerships.  Students also email the department if they are off sick to requesting work.,2,1,1,1,2,10,5,7,2,50,1,I am mindful of always staying professional,5,1, , ,99, , , , ,5,6,7, ,9, , ,99,8,8,7,6,7,7,5,8,2,8,9,8,7,6.5,6.5,7,7.5,8,5,7,2, , , ,Yes,1,0,Timespand so recipient knew how important the reponse needed to be to the sender.,1, ,99,Face-to-face open communication,2, ,7,4,23,3,2,3, ,99,0
Spam emails,2,Written record of communications. Quick & easy to use.,2,2,1,3,2,34,20,35,2,50,2,mesyes messages can seem very sharp,5,2,11,Reading emails that aren't relevant,2, , , , , ,6,7,8,9, ,Hastily composed - can alienate people,7,6.2,1.5,6.8,5.6,2.9,4.7,9.2,1.5,5.5,4.7,5,1.5,6.7,7.5,4.4,7.4,8.9,2.2,6,6.1,2, , , ,Yes,1,0,Not sure,99,no,99,"Friendly, trust and honesty",3, ,15,2,55,5,2,2,I would never write anything inappropriate,8,1
Information not always stated clearly in an email and it is difficult to question any indormation. People do not always read their emails.,6,"Quick method of contacting people, especially those who may live/work in different geographical areas.",1,1,3,3,2,30, , ,2,4,1,"as stated previously, it is difficult to get information accross in the correct tone.",5,2,30,Reading unnecessary emails.,2, , , , , ,6, ,8, , ,Poorly written. As lecturer's we are are expected to promote and correct the use of the written word. It is most annoying to recieve emails written poorly from admin staff etc,6,5,9,5,9,8,5,10,10,10,10,10,10,4,9.9,3,5,10,8,10,10,2, , , ,Probably,1,0,Devise dome method of ensuring that the recipeient has definately read the email.,3,you can't always be sure that the email has been read and understood correctly. You cannot ensure that the recipient reads it immediately.,9,"Being able to discuss, freely, anything relevent to your work and being open to suggestions or constructive critisism.",2, ,15,4,21,4,2,4, ,99,0
The reduction of human contact with colleagues. Sometimes email people who are in the same corridor or on the same floor as yourself.,4,Quick to send information.<br/>Can send to a lot of people at one time.<br/>Information can be saved and refereed to later,1,1,1,2,2,10,3,3,2,98,1,I double check the email address several times before sending,1,1, ,Sending funny emails,2, , , , , ,6, ,8, , ,Content that is not relevant. These are usual sent as a group email where only some members may find it relevant,8,10,5.7,10,8.1,7.7,2.9,2,1.2,9.4,4.8,1.5,2.1,9.5,2,2.3,9.2,2.8,1.8,8.6,1.4,2, , , ,yes,1,0,Not much.,99,Sending links,99,Communicating via both emails and in person,2, ,3,4,22,2,1,4, ,99,0
Loss of face to face contact - the potential conflict caused by 'email tone',4,"Fast, geographical advantages, saves time.",1,4,1,5,2,72,10,10,1,4,1, ,99,2,25,"Finding them, searching for them, filing them, deleting them",9,1,2,3,4,5,6,7,8,9, ,Emails with incorrect spelling etc sent to outside parties advertising education - this is not going to fill students with confidence,6,5.4,9.9,4.7,6.4,5,5.7,8.2,6.9,9.7,9.7,6.2,9.9,6.3,8.4,7.6,8.1,7.1,5.7,8.1,8,1, ,1, ,Yes,1,0,Send more target mails,1,SPAM filters,5,"Honest, frank discussion - but recognising that people are sometimes busy, and not ignoring you!",2, ,15,4,43,3,2,2,Not opening nonsense sent by others,6,1
